chr	start	end	width	strand	length	CpGcount	GCcontent	pctGC	obsExp
chr23	29994436	29994656	221	*	221	17	117	0.529	1.102
chr23	29994461	29994700	240	*	240	21	136	0.567	1.096
chr23	31198852	31199105	254	*	254	19	123	0.484	1.29
chr23	31484006	31484243	238	*	238	21	128	0.538	1.223
chr23	32151807	32152004	198	*	198	10	88	0.444	1.138
chr23	35745407	35745522	116	*	116	12	61	0.526	1.497
chr23	36229412	36229586	175	*	175	12	91	0.52	1.014
chr23	36230039	36230207	169	*	169	12	88	0.521	1.05
chr23	45094287	45094459	173	*	173	16	97	0.561	1.198
chr23	46157522	46157636	115	*	115	8	61	0.53	0.989
chr24	450216	450564	349	*	349	20	172	0.493	0.962
chr24	5797146	5797290	145	*	145	17	86	0.593	1.409
chr24	5797178	5797290	113	*	113	15	69	0.611	1.476
chr24	6016321	6016833	513	*	513	30	229	0.446	1.186
chr24	7450107	7450538	432	*	432	24	186	0.431	1.219
chr24	7450667	7450996	330	*	330	19	135	0.409	1.425
chr24	13176774	13176870	97	*	97	12	65	0.67	1.293
chr24	16763805	16764008	204	*	204	10	95	0.466	0.912
chr24	17528605	17528846	242	*	242	15	112	0.463	1.161
chr24	22229656	22229883	228	*	228	15	113	0.496	1.073
chr24	25612354	25612738	385	*	385	26	196	0.509	1.053
chr24	26197359	26197658	300	*	300	22	163	0.543	1.005
chr24	38838847	38839315	469	*	469	45	248	0.529	1.373
chr24	40607255	40607481	227	*	227	18	114	0.502	1.258
chr24	43809215	43809405	191	*	191	25	119	0.623	1.36
chr25	3403187	3403298	112	*	112	8	54	0.482	1.236
chr25	3581084	3581550	467	*	467	28	198	0.424	1.335
chr25	3581084	3581550	467	*	467	28	198	0.424	1.335
chr25	3581694	3581848	155	*	155	8	57	0.368	1.538
chr25	3581694	3581848	155	*	155	8	57	0.368	1.538
chr25	4311300	4311770	471	*	471	34	243	0.516	1.09
chr25	6351384	6351586	203	*	203	26	122	0.601	1.428
chr25	13126353	13126486	134	*	134	17	91	0.679	1.102
chr25	13126353	13126486	134	*	134	17	91	0.679	1.102
chr25	24971202	24971368	167	*	167	10	69	0.413	1.41
chr25	28611022	28611305	284	*	284	19	129	0.454	1.298
chr25	38339245	38340140	896	*	896	78	495	0.552	1.156
